timestamp_utc,pid,name,role,working_set_mb,private_mb
2026-08-24T10:46:53Z,39916,Rscript.exe,network-build,6159.2,0
2026-08-24T10:47:03Z,39916,Rscript.exe,network-build,6159.1,0
2026-08-24T10:47:13Z,39916,Rscript.exe,network-build,6159.1,0
2026-08-24T10:47:24Z,39916,Rscript.exe,network-build,6159.1,0
2026-08-24T10:47:34Z,39916,Rscript.exe,network-build,6159,0
2026-08-24T10:47:44Z,39916,Rscript.exe,network-build,6159.1,0
2026-08-24T10:47:54Z,39916,Rscript.exe,network-build,6159,0
2026-08-24T10:48:04Z,39916,Rscript.exe,network-build,6159.3,0
2026-08-24T10:48:14Z,39916,Rscript.exe,network-build,6159.1,0
2026-08-24T10:48:14Z,4896,Rscript.exe,other,213.7,0
2026-08-24T10:48:24Z,39916,Rscript.exe,network-build,6159.2,0
2026-08-24T10:48:34Z,39916,Rscript.exe,network-build,6159.2,0
2026-08-24T10:48:44Z,39916,Rscript.exe,network-build,6159.4,0
2026-08-24T10:48:54Z,39916,Rscript.exe,network-build,6159.3,0
2026-08-24T10:49:04Z,39916,Rscript.exe,network-build,6159.5,0
2026-08-24T10:49:14Z,39916,Rscript.exe,network-build,6159.3,0
2026-08-24T10:49:24Z,39916,Rscript.exe,network-build,6159.2,0
2026-08-24T10:49:34Z,39916,Rscript.exe,network-build,6159,0
2026-08-24T10:49:44Z,39916,Rscript.exe,network-build,6159,0
2026-08-24T10:49:54Z,39916,Rscript.exe,network-build,6159.1,0
2026-08-24T10:50:04Z,39916,Rscript.exe,network-build,6159.4,0
2026-08-24T10:50:04Z,38756,Rscript.exe,other,137.4,0
2026-08-24T10:50:14Z,39916,Rscript.exe,network-build,6159.3,0
2026-08-24T10:50:14Z,38756,Rscript.exe,other,149.1,0
2026-08-24T10:50:25Z,39916,Rscript.exe,network-build,6159.4,0
2026-08-24T10:50:25Z,38756,Rscript.exe,other,177.2,0
2026-08-24T10:50:35Z,39916,Rscript.exe,network-build,6159.2,0
2026-08-24T10:50:35Z,38756,Rscript.exe,other,180.8,0
2026-08-24T10:50:45Z,39916,Rscript.exe,network-build,6159.2,0
2026-08-24T10:50:45Z,38756,Rscript.exe,other,180.6,0
